配置,模型,指标,阶段,均值
完整 MMAS,不使用 GP,构造路径较优七条平均 gap（%）,第 1001–2500 轮,5.4713208030859395
完整 MMAS,不使用 GP,构造路径较优七条平均 gap（%）,第 2501–5000 轮,5.780755716775044
完整 MMAS,不使用 GP,2-opt 后较优七条平均 gap（%）,第 1–250 轮,3.1359257778695366
完整 MMAS,不使用 GP,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,1.0811656660902822
完整 MMAS,不使用 GP,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,1.2403795550205838
完整 MMAS,不使用 GP,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,1.274235582337663
完整 MMAS,不使用 GP,同轮同来源内更新树输出的标准差,第 1–250 轮,0.0
完整 MMAS,不使用 GP,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.0
完整 MMAS,不使用 GP,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.0
完整 MMAS,不使用 GP,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.0
完整 MMAS,不使用 GP,更新树输出饱和比例,第 1–250 轮,0.0
完整 MMAS,不使用 GP,更新树输出饱和比例,第 251–1000 轮,0.0
完整 MMAS,不使用 GP,更新树输出饱和比例,第 1001–2500 轮,0.0
完整 MMAS,不使用 GP,更新树输出饱和比例,第 2501–5000 轮,0.0
完整 MMAS,不使用 GP,2-opt 平均改进（百分点）,第 1–250 轮,15.503811444212896
完整 MMAS,不使用 GP,2-opt 平均改进（百分点）,第 251–1000 轮,6.978137501655073
完整 MMAS,不使用 GP,2-opt 平均改进（百分点）,第 1001–2500 轮,7.938055729444301
完整 MMAS,不使用 GP,2-opt 平均改进（百分点）,第 2501–5000 轮,8.208918304270329
完整 MMAS,不使用 GP,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.8532970843750001
完整 MMAS,不使用 GP,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9475194822916667
完整 MMAS,不使用 GP,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9369312841145833
完整 MMAS,不使用 GP,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.9340058915625
完整 MMAS,不使用 GP,每百轮改进全局最优的次数,第 1–250 轮,14.5275
完整 MMAS,不使用 GP,每百轮改进全局最优的次数,第 251–1000 轮,1.3075
完整 MMAS,不使用 GP,每百轮改进全局最优的次数,第 1001–2500 轮,0.36083333333333334
完整 MMAS,不使用 GP,每百轮改进全局最优的次数,第 2501–5000 轮,0.11925
完整 MMAS,不使用 GP,信息素下界触发比例,第 1–250 轮,0.7414085974999999
完整 MMAS,不使用 GP,信息素下界触发比例,第 251–1000 轮,0.8561892649999997
完整 MMAS,不使用 GP,信息素下界触发比例,第 1001–2500 轮,0.8440728562499998
完整 MMAS,不使用 GP,信息素下界触发比例,第 2501–5000 轮,0.8404978202499999
完整 MMAS,不使用 GP,每百轮重启次数,第 1–250 轮,0.0
完整 MMAS,不使用 GP,每百轮重启次数,第 251–1000 轮,0.12666666666666668
完整 MMAS,不使用 GP,每百轮重启次数,第 1001–2500 轮,0.145
完整 MMAS,不使用 GP,每百轮重启次数,第 2501–5000 轮,0.1515
完整 MMAS,不使用 GP,每轮硬上界裁剪次数,第 1–250 轮,0.0
完整 MMAS,不使用 GP,每轮硬上界裁剪次数,第 251–1000 轮,0.0
完整 MMAS,不使用 GP,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
完整 MMAS,不使用 GP,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
完整 MMAS,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,1.7662879610336983
完整 MMAS,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.7570477541353209
完整 MMAS,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.8107230015201886
完整 MMAS,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.7907975235919307
完整 MMAS,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.04619522595967781
完整 MMAS,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.01778872700021242
完整 MMAS,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.02585165591351994
完整 MMAS,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.028917242586034966
完整 MMAS,第一个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,3.9844749999999993
完整 MMAS,第一个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,106.35695
完整 MMAS,第一个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,318.18477083333335
完整 MMAS,第一个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,686.238645
完整 MMAS,第一个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.36
完整 MMAS,第一个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.8167833333333333
完整 MMAS,第一个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.7613166666666666
完整 MMAS,第一个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.7539
完整 MMAS,第一个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,14.922621074278677
完整 MMAS,第一个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,7.660494891816908
完整 MMAS,第一个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,8.53177490583514
完整 MMAS,第一个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,8.609147856184263
完整 MMAS,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,3.112294005610478
完整 MMAS,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,1.4591289255069497
完整 MMAS,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,1.6092528608204637
完整 MMAS,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,1.605790830276889
完整 MMAS,第一个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,8.502173492673435
完整 MMAS,第一个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,2.8335494397210943
完整 MMAS,第一个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,3.4780233990729417
完整 MMAS,第一个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,3.5113306647065463
完整 MMAS,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.812483186993376
完整 MMAS,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.7748364811355335
完整 MMAS,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.8365746574337087
完整 MMAS,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.8197147661779657
完整 MMAS,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,10.040964387144362
完整 MMAS,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,3.340118558379873
完整 MMAS,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,4.135637660015261
完整 MMAS,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,4.194930793286709
完整 MMAS,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,2.1327129306742934
完整 MMAS,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.8746242470314936
完整 MMAS,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.9673605383630953
完整 MMAS,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.9544242086493837
完整 MMAS,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.34414239321860307
完整 MMAS,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.11232025012099248
完整 MMAS,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.1421763667310854
完整 MMAS,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.14634745321824127
完整 MMAS,第一个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.4378945999999999
完整 MMAS,第一个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.13575631666666665
完整 MMAS,第一个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.18026869166666667
完整 MMAS,第一个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.186522715
完整 MMAS,第一个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,11.810326919919161
完整 MMAS,第一个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,6.201365919092709
完整 MMAS,第一个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,6.922522503088006
完整 MMAS,第一个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,7.003357483761371
完整 MMAS,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.8976829734374999
完整 MMAS,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.956735971875
完整 MMAS,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9491628192708333
完整 MMAS,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.948379819375
完整 MMAS,第一个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,15.075
完整 MMAS,第一个 GP 表达式,每百轮改进全局最优的次数,第 251–1000 轮,0.93
完整 MMAS,第一个 GP 表达式,每百轮改进全局最优的次数,第 1001–2500 轮,0.31875
完整 MMAS,第一个 GP 表达式,每百轮改进全局最优的次数,第 2501–5000 轮,0.1305
完整 MMAS,第一个 GP 表达式,信息素下界触发比例,第 1–250 轮,0.7639520000000001
完整 MMAS,第一个 GP 表达式,信息素下界触发比例,第 251–1000 轮,0.8585767283333331
完整 MMAS,第一个 GP 表达式,信息素下界触发比例,第 1001–2500 轮,0.8474093774999998
完整 MMAS,第一个 GP 表达式,信息素下界触发比例,第 2501–5000 轮,0.8471442249999999
完整 MMAS,第一个 GP 表达式,每百轮重启次数,第 1–250 轮,0.0
完整 MMAS,第一个 GP 表达式,每百轮重启次数,第 251–1000 轮,0.13583333333333333
完整 MMAS,第一个 GP 表达式,每百轮重启次数,第 1001–2500 轮,0.1575
完整 MMAS,第一个 GP 表达式,每百轮重启次数,第 2501–5000 轮,0.153
完整 MMAS,第一个 GP 表达式,每轮硬上界裁剪次数,第 1–250 轮,0.0
完整 MMAS,第一个 GP 表达式,每轮硬上界裁剪次数,第 251–1000 轮,0.0
完整 MMAS,第一个 GP 表达式,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
完整 MMAS,第一个 GP 表达式,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
完整 MMAS,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,1.443231757823308
完整 MMAS,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.7054596286561118
完整 MMAS,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.6994971007190717
完整 MMAS,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.6977373202728268
完整 MMAS,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.02258143340620363
完整 MMAS,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.011094330876937614
完整 MMAS,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.015902724720639215
完整 MMAS,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.020059356740640258
完整 MMAS,第二个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,6.1667250000000005
完整 MMAS,第二个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,113.94159166666667
完整 MMAS,第二个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,306.0738916666666
完整 MMAS,第二个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,678.4044375
完整 MMAS,第二个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.36
完整 MMAS,第二个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.8070083333333334
完整 MMAS,第二个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.7577041666666666
完整 MMAS,第二个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.7436024999999999
完整 MMAS,第二个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,10.917049632996525
完整 MMAS,第二个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,5.415995044796495
完整 MMAS,第二个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,6.000546462427916
完整 MMAS,第二个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,6.320307078918348
完整 MMAS,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,2.4153680730547022
完整 MMAS,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,1.178357228156943
完整 MMAS,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,1.242876888819706
完整 MMAS,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,1.280643921153172
完整 MMAS,第二个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,5.9870668033233665
完整 MMAS,第二个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,2.2392875357491366
完整 MMAS,第二个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,2.592485274783892
完整 MMAS,第二个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,2.754042814131799
完整 MMAS,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.4658131912295114
完整 MMAS,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.7165539595330492
完整 MMAS,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.7153998254397105
完整 MMAS,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.7177966770134666
完整 MMAS,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,7.0227268248016115
完整 MMAS,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,2.5986474332122786
完整 MMAS,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,3.0464534969116586
完整 MMAS,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,3.2550898433558584
完整 MMAS,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,1.6950600727491971
完整 MMAS,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.7951725912015993
完整 MMAS,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.8136728108113653
完整 MMAS,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.824991602399557
完整 MMAS,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.23217214762358254
完整 MMAS,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.08629248031974539
完整 MMAS,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.10400468324115365
完整 MMAS,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.11030108842175465
完整 MMAS,第二个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.9074615500000001
完整 MMAS,第二个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.9495106166666667
完整 MMAS,第二个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.9255084416666667
完整 MMAS,第二个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.91824184
完整 MMAS,第二个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,8.501681660299557
完整 MMAS,第二个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,4.237637855094732
完整 MMAS,第二个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,4.757669944415793
完整 MMAS,第二个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,5.03966345240108
完整 MMAS,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.926461684375
完整 MMAS,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9691626307291666
完整 MMAS,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9640668966145834
完整 MMAS,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.9614986221874999
完整 MMAS,第二个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,14.8175
完整 MMAS,第二个 GP 表达式,每百轮改进全局最优的次数,第 251–1000 轮,0.8525
完整 MMAS,第二个 GP 表达式,每百轮改进全局最优的次数,第 1001–2500 轮,0.37916666666666665
完整 MMAS,第二个 GP 表达式,每百轮改进全局最优的次数,第 2501–5000 轮,0.1345
完整 MMAS,第二个 GP 表达式,信息素下界触发比例,第 1–250 轮,0.7729462849999998
完整 MMAS,第二个 GP 表达式,信息素下界触发比例,第 251–1000 轮,0.8587297224999998
完整 MMAS,第二个 GP 表达式,信息素下界触发比例,第 1001–2500 轮,0.8498754858333333
完整 MMAS,第二个 GP 表达式,信息素下界触发比例,第 2501–5000 轮,0.8476189685
完整 MMAS,第二个 GP 表达式,每百轮重启次数,第 1–250 轮,0.0
完整 MMAS,第二个 GP 表达式,每百轮重启次数,第 251–1000 轮,0.14166666666666666
完整 MMAS,第二个 GP 表达式,每百轮重启次数,第 1001–2500 轮,0.15875
完整 MMAS,第二个 GP 表达式,每百轮重启次数,第 2501–5000 轮,0.1605
完整 MMAS,第二个 GP 表达式,每轮硬上界裁剪次数,第 1–250 轮,0.0
完整 MMAS,第二个 GP 表达式,每轮硬上界裁剪次数,第 251–1000 轮,0.0
完整 MMAS,第二个 GP 表达式,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
完整 MMAS,第二个 GP 表达式,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
完整 MMAS,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,1.8471188949969077
完整 MMAS,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.7677380176279166
完整 MMAS,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.8233239138730443
完整 MMAS,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.8119706933008026
完整 MMAS,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0563755729636287
完整 MMAS,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.018804921620142093
完整 MMAS,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.027722268293724282
完整 MMAS,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.030445825317399536
完整 MMAS,第三个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,3.4063999999999997
完整 MMAS,第三个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,93.466225
完整 MMAS,第三个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,313.3912375
完整 MMAS,第三个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,687.936375
完整 MMAS,第三个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.36
完整 MMAS,第三个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.8196583333333333
完整 MMAS,第三个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.7675125
完整 MMAS,第三个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.7531575
完整 MMAS,第三个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,15.538932153992235
完整 MMAS,第三个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,7.762186428662923
完整 MMAS,第三个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,8.592017286727964
完整 MMAS,第三个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,8.747419897345262
完整 MMAS,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,3.2656783978815556
完整 MMAS,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,1.4834581042712
完整 MMAS,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,1.628764186502086
完整 MMAS,第三个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,1.6412452902532368
完整 MMAS,第三个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,9.018451344112059
完整 MMAS,第三个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,2.907383724010887
完整 MMAS,第三个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,3.5377998221556397
完整 MMAS,第三个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,3.6226470257540657
完整 MMAS,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.9034944679605363
完整 MMAS,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.7865429392480585
完整 MMAS,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.8510461821667684
完整 MMAS,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.8424165186182022
完整 MMAS,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,10.652830357517292
完整 MMAS,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,3.4349459130677262
完整 MMAS,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,4.204865078921106
完整 MMAS,第三个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,4.329019411323782
完整 MMAS,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,2.2506643643278785
完整 MMAS,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.8903586608660453
完整 MMAS,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.9841860357726694
完整 MMAS,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.9817636606847646
完整 MMAS,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.33331672994343386
完整 MMAS,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.11634632470453181
完整 MMAS,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.14069650820441904
完整 MMAS,第三个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.14616014183161571
完整 MMAS,第三个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.045828500000000015
完整 MMAS,第三个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.013649566666666668
完整 MMAS,第三个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.017256166666666666
完整 MMAS,第三个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.017936390000000003
完整 MMAS,第三个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,12.273253750947713
完整 MMAS,第三个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,6.278728389185513
完整 MMAS,第三个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,6.963253045767278
完整 MMAS,第三个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,7.106174655328279
完整 MMAS,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.8923226687499999
完整 MMAS,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9557413541666667
完整 MMAS,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9485585528645833
完整 MMAS,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.9471860456249999
完整 MMAS,第三个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,15.22
